PDF	ZIP	Latin Name	Common Name	Reference	Original Map No(s).
Graphic(PDF)	Shapefiles	Sambucus glauca	blueberry elder	Little (1976) 	185-NW, 185-SW
Graphic(PDF)	Shapefiles	Sambucus melanocarpa	blackbead elder	Little (1976) 	187
Graphic(PDF)	Shapefiles	Sambucus mexicana	Mexican elder	Little (1976) 	186-N, 186-W
Graphic(PDF)	Shapefiles	Sambucus velutina	velvet elder	Little (1976) 	188
Graphic(PDF)	Shapefiles	Sapium biloculare	jumping bean sapium	Little (1976) 	190
Graphic(PDF)	Shapefiles	Sapindus drummondii	western soapberry	Little (1976, 1977) 	189, 138
Graphic(PDF)	Shapefiles	Sapindus saponaria	wingleaf soapberry	Little (1977, 1978) 	139, 240
Graphic(PDF)	Shapefiles	Sassafras albidum	sassafras	Little (1971) 	191-E
Graphic(PDF)	Shapefiles	Savia bahamensis	maidenbush	Little (1978) 	241
Graphic(PDF)	Shapefiles	Schaefferia frutescens	Florida boxwood	Little (1978) 	242
Graphic(PDF)	Shapefiles	Schoepfia chrysophylloides	graytwig	Little (1978) 	243
Graphic(PDF)	Shapefiles	Sequoiadendron giganteum	giant sequoia	Little (1971) 	82-W
Graphic(PDF)	Shapefiles	Sequoia sempervirens	redwood	Little (1971) 	81-W
Graphic(PDF)	Shapefiles	Serenoa repens	saw palmetto	Little (1977) 	137
Graphic(PDF)	Shapefiles	Shepherdia argentea	silver buffaloberry	Little (1977, 1976) 	144,191-NW,191-SW
Graphic(PDF)	Shapefiles	Simarouba glauca	paradise tree	Little (1978) 	244
Graphic(PDF)	Shapefiles	Solanum erianthum	mullein nightshade	Little (1977, 1978) 	140-N, 140-SE, 245
Graphic(PDF)	Shapefiles	Sophora affinis	Texas sophora	Little (1977) 	145
Graphic(PDF)	Shapefiles	Sophora secundiflora	mescalbean	Little (1976) 	192-N, 192-SW
Graphic(PDF)	Shapefiles	Sorbus americana	American mountain ash	Little (1977) 	141-N, 141-SE
Graphic(PDF)	Shapefiles	Sorbus decora	showy mountain ash	Little (1977) 	142-N, 142-NE
Graphic(PDF)	Shapefiles	Sorbus scopulina	Greene mountain ash	Little (1976) 	193-N, 193-W
Graphic(PDF)	Shapefiles	Sorbus sitchensis	Sitka mountain ash	Little (1976) 	194-N, 194-W
Graphic(PDF)	Shapefiles	Staphylea bolanderi	Sierra bladdernut	Little (1976) 	195
Graphic(PDF)	Shapefiles	Staphylea trifolia	American bladdernut	Little (1977) 	143-NE, 143-SE
Graphic(PDF)	Shapefiles	Stewartia malacodendron	Virginia stewartia	Little (1977) 	146
Graphic(PDF)	Shapefiles	Stewartia ovata	mountain stewartia	Little (1977) 	147
Graphic(PDF)	Shapefiles	Styrax americana	American snowbell	Little (1977) 	148
Graphic(PDF)	Shapefiles	Styrax grandifolia	bigleaf snowbell	Little (1977) 	149
Graphic(PDF)	Shapefiles	Styrax platanifolia	sycamore leaf snowbell	Little (1977) 	150
Graphic(PDF)	Shapefiles	Suriana maritima	baycedar	Little (1978) 	246
Graphic(PDF)	Shapefiles	Swietenia mahagoni	West Indies mahogany	Little (1978, 1971) 	247, 192-E
Graphic(PDF)	Shapefiles	Symplocos tinctoria	common sweetleaf	Little (1977) 	151
Graphic(PDF)	Shapefiles	Taxodium distichum	baldcypress	Little (1971) 	84-E
Graphic(PDF)	Shapefiles	Taxodium mucronatum	Montezuma baldcypress	Little (1971) 	83-W, 83-N
Graphic(PDF)	Shapefiles	Taxus brevifolia	Pacific yew	Little (1971) 	86-W, 86-N
Graphic(PDF)	Shapefiles	Taxus canadensis	Canada yew	Little (1971) 	86.1-N, 86.1-E
Graphic(PDF)	Shapefiles	Taxus floridana	Florida yew	Little (1971) 	85-E
Graphic(PDF)	Shapefiles	Tetrazygia bicolor	Florida tetrazygia	Little (1978) 	248
Graphic(PDF)	Shapefiles	Thrinax morrisii	key thatchpalm	Little (1978) 	249
Graphic(PDF)	Shapefiles	Thrinax radiata	Florida thatchpalm	Little (1978) 	250
Graphic(PDF)	Shapefiles	Thuja occidentalis	northern white cedar	Little (1971) 	89-N, 89-E
Graphic(PDF)	Shapefiles	Thuja plicata	western redcedar	Little (1971) 	90-W, 90-N
Graphic(PDF)	Shapefiles	Tilia americana	American basswood	Little (1971) 	193-E
Graphic(PDF)	Shapefiles	Tilia caroliniana	Carolina basswood	Little (1977) 	153
Graphic(PDF)	Shapefiles	Tilia heterophylla	white basswood	Little (1971) 	194-E
Graphic(PDF)	Shapefiles	Torreya californica	California torreya	Little (1971) 	87-W
Graphic(PDF)	Shapefiles	Torreya taxifolia	Florida torreya	Little (1971) 	88-E
Graphic(PDF)	Shapefiles	Toxicodendron vernix	poison sumac	Little (1977) 	152-NE, 152-SE
Graphic(PDF)	Shapefiles	Trema lamarckiana	West Indies trema	Little (1978) 	251
Graphic(PDF)	Shapefiles	Trema micrantha	Florida trema	Little (1978) 	252
Graphic(PDF)	Shapefiles	Tsuga canadensis	eastern hemlock	Little (1971) 	91-N, 91-E
Graphic(PDF)	Shapefiles	Tsuga caroliniana	Carolina hemlock	Little (1971) 	94-E
Graphic(PDF)	Shapefiles	Tsuga heterophylla	western hemlock	Little (1971) 	92-W, 92-N
Graphic(PDF)	Shapefiles	Tsuga mertensiana	mountain hemlock	Little (1971) 	93-W, 93-N
Graphic(PDF)	Shapefiles	Ulmus alata	winged elm	Little (1971) 	195-E
Graphic(PDF)	Shapefiles	Ulmus americana	American elm	Little (1971) 	196-N, 196-W, 196-E
Graphic(PDF)	Shapefiles	Ulmus crassifolia	cedar elm	Little (1971) 	197-E
Graphic(PDF)	Shapefiles	Ulmus rubra	slippery elm	Little (1971) 	198-W, 198-E
Graphic(PDF)	Shapefiles	Ulmus serotina	September elm	Little (1971) 	197.1-E
Graphic(PDF)	Shapefiles	Ulmus thomasii	rock elm	Little (1971) 	200-E
Graphic(PDF)	Shapefiles	Umbellularia californica	California laurel	Little (1971) 	199-W
Graphic(PDF)	Shapefiles	Ungnadia speciosa	Mexican buckeye	Little (1976) 	196
Graphic(PDF)	Shapefiles	Vaccinium arboreum	tree sparkleberry	Little (1977) 	154
Graphic(PDF)	Shapefiles	Vauquelinia californica	Torrey vauquelinia	Little (1976) 	197
Graphic(PDF)	Shapefiles	Vauquelinia pauciflora	fewflower vauquelinia	Little (1976) 	198
Graphic(PDF)	Shapefiles	Viburnum lentago	nannyberry	Little (1976, 1977) 	199, 155
Graphic(PDF)	Shapefiles	Viburnum nudum	possumhaw viburnum	Little (1977) 	156
Graphic(PDF)	Shapefiles	Viburnum obovatum	Walter viburnum	Little (1977) 	157
Graphic(PDF)	Shapefiles	Viburnum prunifolium	blackhaw	Little (1977) 	158
Graphic(PDF)	Shapefiles	Viburnum rufidulum	rusty blackhaw	Little (1977) 	160
Graphic(PDF)	Shapefiles	Viburnum trilobum	American cranberrybush	Little (1976, 1977) 	200,159-N,159-NE
Graphic(PDF)	Shapefiles	Washingtonia filifera	California washingtonia	Little (1976) 	201
Graphic(PDF)	Shapefiles	Ximenia americana	tallowwood	Little (1978) 	253
Graphic(PDF)	Shapefiles	Yucca aloifolia	aloe yucca	Little (1977) 	161
Graphic(PDF)	Shapefiles	Yucca brevifolia	Joshua tree	Little (1976) 	202
Graphic(PDF)	Shapefiles	Yucca carnerosana	Carneros yucca	Little (1976) 	203
Graphic(PDF)	Shapefiles	Yucca elata	soaptree yucca	Little (1976) 	204
Graphic(PDF)	Shapefiles	Yucca faxoniana	Faxon yucca	Little (1976) 	205
Graphic(PDF)	Shapefiles	Yucca gloriosa	moundlily yucca	Little (1977) 	162
Graphic(PDF)	Shapefiles	Yucca mohavensis	Mohave yucca	Little (1976) 	206
Graphic(PDF)	Shapefiles	Yucca rostrata	beaked yucca	Little (1976) 	207
Graphic(PDF)	Shapefiles	Yucca schottii	Schotts yucca	Little (1976) 	208
Graphic(PDF)	Shapefiles	Yucca torreyi	Torrey yucca	Little (1976) 	209
Graphic(PDF)	Shapefiles	Yucca treculeana	Trecul yucca	Little (1976) 	210
Graphic(PDF)	Shapefiles	Zanthoxylum americanum	common prickly ash	Little (1977) 	163
Graphic(PDF)	Shapefiles	Zanthoxylum clava-herculis	Hercules club	Little (1977) 	165
Graphic(PDF)	Shapefiles	Zanthoxylum coriaceum	Biscayne prickly ash	Little (1978) 	254
Graphic(PDF)	Shapefiles	Zanthoxylum fagara	lime prickly ash	Little (1977, 1978) 	164-N, 164-SE, 255
Graphic(PDF)	Shapefiles	Zanthoxylum flavum	West Indies satinwood	Little (1978) 	256
Graphic(PDF)	Shapefiles	Zanthoxylum hirsutum	Texas Hercules club	Little (1977) 	166
